f,portugal,9,6
d,spain,9,3
c,germany,7,4
a,switzerland,7,3
e,belgium,7,2
f,austria,6,3
b,england,5,3
b,slovakia,5,2
a,france,5,1
e,ireland,5,1
a,romania,4,1
d,czechia,4,1
e,italy,4,0
c,ukraine,4,-1
c,poland,4,-1
f,hungary,3,-4
d,turkey,2,-1
b,wales,2,-2
b,russia,2,-3
c,northern ireland,1,-2
d,croatia,1,-3
e,sweden,0,-3
a,albania,0,-5
f,iceland,0,-5
